id,Район,Цена
0,Вся Москва,300000
1,Район Академический,400000
2,Район Алексеевский,400000
3,Район Алтуфьевский,250000
4,Район Арбат,600000
5,Район Аэропорт,400000
6,Район Бабушкинский,300000
7,Район Басманный,400000
8,Район Беговой,500000
9,Район Бескудниковский,300000
10,Район Бибирево,250000
11,Район Бирюлево Восточное,250000
12,Район Бирюлево Западное,250000
13,Район Богородское,300000
14,Район Братеево,250000
15,Район Бутырский,300000
16,Район Вешняки,250000
17,Район Внуково,250000
18,Район Войковский,300000
19,Район Восточное Дегунино,300000
20,Район Восточное Измайлово,300000
21,Район Восточный,250000
22,Район Выхино-Жулебино,250000
23,Район Гагаринский,400000
24,Район Головинский,300000
25,Район Гольяново,250000
26,Район Даниловский,400000
27,Район Дмитровский,300000
28,Район Донской,400000
29,Район Дорогомилово,500000
30,Район Жулебино,250000
31,Район Замоскворечье,500000
32,Район Западное Дегунино,300000
33,Район Зюзино,300000
34,Район Зябликово,250000
35,Район Ивановское,250000
36,Район Измайлово,300000
37,Район Капотня,250000
38,Район Кожухово,250000
39,Район Коньково,300000
40,Район Коптево,300000
41,Район Косино-Ухтомский,250000
42,Район Котловка,400000
43,Район Красносельский,500000
44,Район Крылатское,400000
45,Район Кузьминки,300000
46,Район Кунцево,400000
47,Район Куркино,300000
48,Район Левобережный,300000
49,Район Лефортово,300000
50,Район Лианозово,250000
51,Район Ломоносовский,400000
52,Район Лосиноостровский,250000
53,Район Люблино,250000
54,Район Марфино,300000
55,Район Марьина роща,400000
56,Район Марьино,250000
57,Район Матушкино,250000
58,Район Метрогородок,300000
59,Район Мещанский,500000
60,Район Митино,300000
61,Район Можайский,300000
62,Район Молжаниновский,300000
63,Район Москворечье-Сабурово,250000
64,Район Нагатино-Садовники,300000
65,Район Нагатинский Затон,300000
66,Район Нагорный,300000
67,Район Некрасовка,250000
68,Район Нижегородский,250000
69,Район Ново-Переделкино,250000
70,Район Новогиреево,250000
71,Район Новокосино,250000
72,Район Обручевский,300000
73,Район Орехово-Борисово Северное,250000
74,Район Орехово-Борисово Южное,250000
75,Район Останкинский,300000
76,Район Остоженка,600000
77,Район Отрадное,250000
78,Район Очаково-Матвеевское,300000
79,Район Перово,250000
80,Район Печатники,300000
81,Район Покровское-Стрешнево,300000
82,Район Преображенское,300000
83,Район Пресненский,500000
84,Район Проспект Вернадского,400000
85,Район Раменки,400000
86,Район Ростокино,300000
87,Район Рязанский,250000
88,Район Савеловский,400000
89,Район Савёлки,250000
90,Район Свиблово,300000
91,Район Северное Бутово,250000
92,Район Северное Измайлово,250000
93,Район Северное Медведково,300000
94,Район Северное Тушино,300000
95,Район Северный,300000
96,Район Сокол,400000
97,Район Соколиная гора,300000
98,Район Сокольники,400000
99,Район Солнцево,250000
100,Район Строгино,300000
101,Район Таганский,500000
102,Район Тверской,600000
103,Район Текстильщики,300000
104,Район Теплый Стан,250000
105,Район Тимирязевский,300000
106,Район Тропарево-Никулино,400000
107,Район Филевский парк,400000
108,Район Фили-Давыдково,300000
109,Район Хамовники,500000
110,Район Ховрино,300000
111,Район Хорошево-Мневники,400000
112,Район Хорошевский,400000
113,Район Царицыно,250000
114,Район Центр Москвы,600000
115,Район Черемушки,400000
116,Район Чертаново Северное,300000
117,Район Чертаново Центральное,300000
118,Район Чертаново Южное,250000
119,Район Щукино,300000
120,Район Южное Бутово,250000
121,Район Южное Медведково,300000
122,Район Южное Тушино,300000
123,Район Южнопортовый,400000
124,Район Якиманка,600000
125,Район Ярославский,250000
126,Район Ясенево,250000