Год,Ковид,Санкции,Ключевая ставка ЦБ РФ (%),ИПЦ (% к декабрю предыдущего года),Доллар
2000,0,0,28.00,119.30,28.83
2001,0,0,25.00,118.60,30.14
2002,0,0,23.00,115.10,31.7844
2003,0,0,14.00,112.00,29.4545
2004,0,0,13.00,111.70,27.7487
2005,0,0,12.00,110.90,28.7825
2006,0,0,10.50,109.00,26.3311
2007,0,0,10.25,111.90,24.5462
2008,0,0,8.75,113.30,29.3804
2009,0,0,9.00,108.8,31.7253
2010,0,0,7.75,108.8,30.3697
2011,0,0,8.25,106.1,29.3925
2012,0,0,8.25,106.6,31.088
2013,0,0,8.25,106.5,31.8542
2014,0,1,10.50,111.4,38.4863
2015,0,1,11.00,112.9,61.0036
2016,0,1,10.00,105.4,67.0014
2017,0,1,8.25,102.5,58.3446
2018,0,1,7.75,104.3,62.7414
2019,0,1,6.25,103.0,64.7155
2020,1,1,4.25,104.9,72.1791
2021,1,1,8.50,108.4,73.6552
2022,1,2,20.00,111.9,68.5386
2023,0,2,16.00,107.4,85.2997
2024,0,2,21.00,109.5,92.6225
2025,0,2,21.00,110.2,89.0444