Месяц,Квартиры₽/м²,"Вторичка
Июнь,198 716867 объявлений,"199 319775 объявлений
204 37466 объявлений",47 802 99337 объявлений,7 214 67430 объявлений,"25 562102 объявления
40 03246 объявлений"
Июль,202 538820 объявлений,"202 620744 объявления
221 06453 объявления",46 413 73937 объявлений,5 912 76933 объявления,"21 82578 объявлений
45 89225 объявлений"
Август,207 284781 объявление,"207 637702 объявления
226 63854 объявления",48 128 90833 объявления,4 896 98931 объявление,"18 024128 объявлений
37 68432 объявления"
Сентябрь,207 986737 объявлений,"208 919653 объявления
222 97562 объявления",47 349 48336 объявлений,3 514 03133 объявления,"19 054120 объявлений
36 39252 объявления"
Октябрь,204 653691 объявление,"206 344612 объявлений
213 23660 объявлений",45 852 17934 объявления,3 865 60928 объявлений,"19 636114 объявлений
42 64546 объявлений"
Ноябрь,202 520649 объявлений,"204 929561 объявление
209 16066 объявлений",62 560 47126 объявлений,5 274 12424 объявления,"20 58649 объявлений
47 76228 объявлений"
Декабрь,203 550603 объявления,"204 254514 объявлений
246 26866 объявлений",70 112 53522 объявления,1 935 40123 объявления,"22 78448 объявлений
52 12425 объявлений"
Январь,209 098565 объявлений,"209 428487 объявлений
229 57153 объявления",59 956 53623 объявления,2 238 69421 объявление,"25 66716 объявлений
67 16718 объявлений"
Февраль,221 338560 объявлений,"207 436466 объявлений
282 79363 объявления",70 334 34923 объявления,2 038 99621 объявление,"23 96870 объявлений
58 09429 объявлений"
Март,225 317561 объявление,"214 016468 объявлений
285 82964 объявления",66 892 57222 объявления,1 874 44420 объявлений,"23 34190 объявлений
51 89232 объявления"
Апрель,228 914567 объявлений,"218 691468 объявлений
291 83168 объявлений",73 039 79920 объявлений,1 588 24617 объявлений,"29 514110 объявлений
46 18644 объявления"
Май,227 727531 объявление,"216 163455 объявлений
335 52653 объявления",62 876 09523 объявления,228 9357 объявлений,"30 010141 объявление
53 49837 объявлений"
Июнь,223 647520 объявлений,"211 038446 объявлений
315 42653 объявления",74 391 84022 объявления,246 8747 объявлений,"22 782115 объявлений
33 24749 объявлений"
Июль,234 398496 объявлений,"213 707371 объявление
304 581101 объявление",67 138 63227 объявлений,227 4798 объявлений,"20 670229 объявлений
29 65142 объявления"
Август,230 102555 объявлений,"212 517306 объявлений
290 345116 объявлений",60 433 83525 объявлений,272 5067 объявлений,"20 992122 объявления
37 42435 объявлений"
Сентябрь,214 302313 объявлений,"215 754287 объявлений
184 8645 объявлений",60 078 18025 объявлений,272 5067 объявлений,"23 542104 объявления
36 67436 объявлений"
Октябрь,209 516347 объявлений,"210 162313 объявлений
231 13110 объявлений",54 677 50628 объявлений,272 5067 объявлений,"19 423120 объявлений
40 40222 объявления"
Ноябрь,243 0241 086 объявлений,"227 026388 объявлений
284 158682 объявления",108 325 77826 объявлений,333 1826 объявлений,"19 684198 объявлений
31 67242 объявления"
Декабрь,208 0022 780 объявлений,"225 389596 объявлений
187 9202 169 объявлений",103 966 84038 объявлений,248 1515 объявлений,"23 874236 объявлений
32 027130 объявлений"
Январь,227 8922 375 объявлений,"228 571599 объявлений
246 4391 761 объявление",54 164 15237 объявлений,264 96614 объявлений,"23 456366 объявлений
35 553155 объявлений"
Февраль,244 8182 789 объявлений,"213 950695 объявлений
268 5702 078 объявлений",41 227 01446 объявлений,268 24312 объявлений,"22 365430 объявлений
43 284173 объявления"
Март,259 1862 647 объявлений,"240 870613 объявлений
271 3492 019 объявлений",37 975 63944 объявления,277 2289 объявлений,"24 354353 объявления
42 037180 объявлений"
Апрель,250 5681 821 объявление,"233 124583 объявления
272 2411 226 объявлений",31 917 90745 объявлений,168 0906 объявлений,"24 493229 объявлений
39 17493 объявления"
Май,246 1901 010 объявлений,"232 993548 объявлений
252 253454 объявления",44 965 09449 объявлений,84 5454 объявления,"25 571209 объявлений
46 303149 объявлений"
Июнь,220 0311 455 объявлений,"236 979663 объявления
195 358782 объявления",44 159 74153 объявления,135 76116 объявлений,"23 159147 объявлений
34 37678 объявлений"
Июль,219 4841 033 объявления,"234 004746 объявлений
186 105279 объявлений",45 764 46252 объявления,207 26918 объявлений,"24 912221 объявление
40 269167 объявлений"
Август,226 5511 722 объявления,"230 9061 126 объявлений
202 391590 объявлений",41 191 17449 объявлений,507 21218 объявлений,"21 465188 объявлений
39 569139 объявлений"
Сентябрь,239 8691 639 объявлений,"240 3281 382 объявления
219 879252 объявления",52 952 10442 объявления,458 9479 объявлений,"24 228192 объявления
51 591166 объявлений"
Октябрь,247 5501 571 объявление,"248 4031 406 объявлений
235 342160 объявлений",51 109 38242 объявления,493 0158 объявлений,"25 028265 объявлений
47 815197 объявлений"
Ноябрь,245 3151 688 объявлений,"243 5931 517 объявлений
274 202164 объявления",50 514 49643 объявления,465 40613 объявлений,"29 501404 объявления
43 428430 объявлений"
Декабрь,245 4041 675 объявлений,"240 5921 521 объявление
272 833147 объявлений",45 304 75439 объявлений,433 12314 объявлений,"27 542336 объявлений
51 365212 объявлений"
Январь,239 7811 383 объявления,"237 1631 210 объявлений
273 605163 объявления",29 421 35036 объявлений,465 69014 объявлений,"22 935388 объявлений
37 320164 объявления"
Февраль,238 0921 486 объявлений,"237 2321 268 объявлений
262 692208 объявлений",38 575 33837 объявлений,963 78116 объявлений,"23 755392 объявления
40 170180 объявлений"
Март,239 7411 430 объявлений,"241 3481 250 объявлений
241 498170 объявлений",34 058 20438 объявлений,729 98217 объявлений,"23 189352 объявления
38 279144 объявления"
Апрель,270 1631 435 объявлений,"271 2931 312 объявлений
283 534115 объявлений",34 160 54929 объявлений,576 52416 объявлений,"21 741248 объявлений
36 771105 объявлений"
Май,245 316908 объявлений,"244 237831 объявление
280 45371 объявление",90 444 60028 объявлений,573 25916 объявлений,"22 380131 объявление
38 21786 объявлений"
Июнь,268 7851 332 объявления,"268 8421 215 объявлений
278 384112 объявлений",90 881 34630 объявлений,479 85315 объявлений,"22 667181 объявление
39 82797 объявлений"
Июль,271 3561 544 объявления,"272 6601 376 объявлений
277 172158 объявлений",82 160 99434 объявления,533 66113 объявлений,"20 530131 объявление
37 39072 объявления"
Август,276 4381 740 объявлений,"276 4461 561 объявление
272 378170 объявлений",84 443 24431 объявление,601 2877 объявлений,"16 972423 объявления
38 48569 объявлений"
Сентябрь,281 1601 999 объявлений,"281 8211 828 объявлений
279 516160 объявлений",87 109 09130 объявлений,494 2208 объявлений,"17 440425 объявлений
39 84475 объявлений"
Октябрь,278 357966 объявлений,"277 618894 объявления
302 83466 объявлений",159 039 80122 объявления,151 4336 объявлений,"24 464212 объявлений
46 997109 объявлений"
Ноябрь,278 3191 155 объявлений,"277 170961 объявление
285 039186 объявлений",162 839 90522 объявления,336 5839 объявлений,"24 264204 объявления
57 932110 объявлений"
Декабрь,281 7131 221 объявление,"279 7701 039 объявлений
282 743174 объявления",28 236 16820 объявлений,128 4758 объявлений,"24 604226 объявлений
56 723127 объявлений"
Январь,281 1621 284 объявления,"279 7341 180 объявлений
309 01296 объявлений",28 814 07417 объявлений,151 4336 объявлений,"27 645170 объявлений
61 515110 объявлений"
Февраль,290 3431 642 объявления,"289 0731 459 объявлений
321 634172 объявления",29 517 41124 объявления,423 5417 объявлений,"28 65496 объявлений
67 08579 объявлений"
Март,295 4001 634 объявления,"294 2701 478 объявлений
332 386147 объявлений",31 246 05518 объявлений,552 5159 объявлений,"27 995113 объявлений
60 49475 объявлений"
Апрель,294 8271 743 объявления,"295 6101 519 объявлений
332 792218 объявлений",37 754 37416 объявлений,552 1189 объявлений,"30 74073 объявления
65 96960 объявлений"
Май,302 4971 794 объявления,"305 5941 586 объявлений
326 437195 объявлений",40 706 25719 объявлений,550 0558 объявлений,"29 687108 объявлений
59 32084 объявления"
Июнь,307 1901 932 объявления,"310 0771 726 объявлений
367 473185 объявлений",44 825 59318 объявлений,494 59410 объявлений,"29 319107 объявлений
57 35178 объявлений"
Июль,319 1331 777 объявлений,"318 3851 671 объявление
370 42688 объявлений",48 672 08322 объявления,707 4917 объявлений,"28 802104 объявления
67 46782 объявления"
Август,320 9811 830 объявлений,"322 0221 673 объявления
335 582141 объявление",55 463 37518 объявлений,553 1177 объявлений,"30 858127 объявлений
63 77078 объявлений"
Сентябрь,320 2881 855 объявлений,"327 3271 588 объявлений
304 060247 объявлений",93 074 62615 объявлений,234 7044 объявления,"52 58748 объявлений
88 29637 объявлений"
Октябрь,326 1262 174 объявления,"327 3701 896 объявлений
344 108243 объявления",110 015 47812 объявлений,20 4455 объявлений,"21 65777 объявлений
70 30548 объявлений"
Ноябрь,326 7912 171 объявление,"323 7231 939 объявлений
392 133194 объявления",114 973 28313 объявлений,24 4034 объявления,"31 45572 объявления
77 43358 объявлений"
Декабрь,348 4801 989 объявлений,"346 5111 736 объявлений
395 839224 объявления",119 809 65361 объявление,24 4034 объявления,"21 81562 объявления
78 97051 объявление"
Январь,373 5472 093 объявления,"369 5311 816 объявлений
419 327242 объявления",142 322 53655 объявлений,1 254 5777 объявлений,"35 00384 объявления
82 514120 объявлений"
Февраль,366 1272 904 объявления,"363 7822 597 объявлений
417 859257 объявлений",93 966 22366 объявлений,1 126 94010 объявлений,"32 63747 объявлений
72 07658 объявлений"
Март,386 8502 394 объявления,"391 2382 146 объявлений
363 417205 объявлений",108 222 48758 объявлений,1 336 3288 объявлений,"36 446110 объявлений
62 54297 объявлений"
Апрель,384 2732 137 объявлений,"389 5021 826 объявлений
406 439277 объявлений",99 743 69746 объявлений,2 065 9469 объявлений,"44 75792 объявления
73 495101 объявление"
Май,382 4332 413 объявлений,"387 6062 106 объявлений
395 508269 объявлений",131 549 39750 объявлений,867 00812 объявлений,"46 24595 объявлений
60 84091 объявление"
Июнь,386 0752 044 объявления,"384 4391 842 объявления
413 103167 объявлений",90 739 01945 объявлений,1 055 22616 объявлений,"43 64753 объявления
77 13289 объявлений"
Июль,392 4211 668 объявлений,"387 0121 422 объявления
448 920213 объявлений",87 548 84446 объявлений,808 65814 объявлений,"41 52957 объявлений
70 56884 объявления"
Август,395 4491 703 объявления,"384 1461 416 объявлений
478 080260 объявлений",76 715 92751 объявление,868 32313 объявлений,"44 47247 объявлений
74 30070 объявлений"
Сентябрь,407 9111 801 объявление,"388 9351 475 объявлений
438 951297 объявлений",107 022 25851 объявление,747 65111 объявлений,"35 52237 объявлений
63 50863 объявления"
Октябрь,397 7811 915 объявлений,"383 2491 557 объявлений
442 402322 объявления",115 767 36752 объявления,786 6068 объявлений,"39 27443 объявления
67 74979 объявлений"
Ноябрь,385 1711 993 объявления,"382 9821 724 объявления
428 329228 объявлений",125 551 82748 объявлений,817 54012 объявлений,"42 33460 объявлений
67 32896 объявлений"
Декабрь,384 7901 994 объявления,"382 1731 725 объявлений
428 172228 объявлений",127 028 01748 объявлений,817 54012 объявлений,"42 31461 объявление
67 07895 объявлений"
Январь,383 5832 110 объявлений,"380 7471 829 объявлений
443 861233 объявления",126 300 03947 объявлений,797 55613 объявлений,"40 63781 объявление
64 543107 объявлений"
Февраль,389 4332 590 объявлений,"376 3221 945 объявлений
490 607601 объявление",153 112 56149 объявлений,835 58714 объявлений,"32 33185 объявлений
62 64484 объявления"
Март,395 5903 065 объявлений,"378 1661 882 объявления
498 6681 143 объявления",130 136 46554 объявления,969 62213 объявлений,"37 38052 объявления
77 44583 объявления"
Апрель,402 0482 807 объявлений,"384 0541 641 объявление
460 9161 119 объявлений",159 649 07549 объявлений,891 02910 объявлений,"36 14959 объявлений
70 17682 объявления"
Май,405 2352 496 объявлений,"385 7701 624 объявления
474 306827 объявлений",153 063 20251 объявление,931 99915 объявлений,"40 82351 объявление
89 46759 объявлений"
Июнь,400 1432 691 объявление,"387 6452 090 объявлений
499 283564 объявления",131 329 23155 объявлений,1 128 16211 объявлений,"42 47469 объявлений
74 83653 объявления"
Июль,410 4002 419 объявлений,"396 2001 835 объявлений
489 469556 объявлений",131 887 73752 объявления,638 2577 объявлений,"40 22157 объявлений
82 13052 объявления"
Август,417 3082 331 объявление,"403 0621 789 объявлений
518 596517 объявлений",129 242 30354 объявления,1 134 22910 объявлений,"43 60689 объявлений
79 28637 объявлений"
Сентябрь,414 5702 218 объявлений,"402 0841 716 объявлений
515 423480 объявлений",115 615 54357 объявлений,541 59310 объявлений,"40 088120 объявлений
83 46435 объявлений"
Октябрь,416 5832 243 объявления,"403 9611 717 объявлений
475 116499 объявлений",102 749 92358 объявлений,862 57211 объявлений,"64 38151 объявление
87 86125 объявлений"
Ноябрь,419 7502 300 объявлений,"402 3091 764 объявления
546 116506 объявлений",132 258 04255 объявлений,763 7908 объявлений,"26 27463 объявления
80 52733 объявления"
Декабрь,423 5392 101 объявление,"411 9891 561 объявление
532 207516 объявлений",140 016 68751 объявление,758 1659 объявлений,"48 28026 объявлений
90 43822 объявления"
Январь,426 1472 234 объявления,"410 0251 644 объявления
555 996572 объявления",119 487 91352 объявления,169 6577 объявлений,"27 89759 объявлений
79 95934 объявления"
Февраль,434 2591 607 объявлений,"411 4021 213 объявлений
528 882377 объявлений",116 232 97554 объявления,126 0039 объявлений,"39 02659 объявлений
91 06727 объявлений"
Март,424 9062 000 объявлений,"411 9441 627 объявлений
555 506343 объявления",162 872 59851 объявление,589 0988 объявлений,"45 15843 объявления
83 27934 объявления"
Апрель,423 3322 060 объявлений,"409 3081 675 объявлений
552 137357 объявлений",153 734 70152 объявления,929 3628 объявлений,"43 77652 объявления
77 27329 объявлений"
Май,418 1961 962 объявления,"412 9851 659 объявлений
520 119278 объявлений",148 936 89852 объявления,706 9759 объявлений,"34 41540 объявлений
74 46930 объявлений"
Июнь,416 309801 объявление,"389 862597 объявлений
522 769194 объявления",50 425 01310 объявлений,754 3249 объявлений,"30 17942 объявления
50 70624 объявления"
Июль,419 033789 объявлений,"391 155585 объявлений
509 728194 объявления",32 148 5368 объявлений,754 3249 объявлений,"65 96411 объявлений
65 93820 объявлений"
Август,429 326783 объявления,"392 513537 объявлений
500 587234 объявления",34 708 9207 объявлений,836 32310 объявлений,"61 5717 объявлений
80 21021 объявление"
Сентябрь,417 080731 объявление,"388 840496 объявлений
518 093223 объявления",39 625 0006 объявлений,673 90911 объявлений,"52 525104 объявления
74 50594 объявления"
Октябрь,427 942593 объявления,"394 113428 объявлений
573 200154 объявления",39 625 0006 объявлений,673 90911 объявлений,"36 663431 объявление
53 47796 объявлений"
Ноябрь,429 848589 объявлений,"385 210402 объявления
534 760180 объявлений",38 833 3345 объявлений,673 90911 объявлений,"37 101548 объявлений
54 727167 объявлений"
Декабрь,424 483467 объявлений,"399 902135 объявлений
498 260328 объявлений",23 666 6673 объявления,876 9588 объявлений,"41 518279 объявлений
73 120134 объявления"